id,label,title
208,supersite_websam_vtext,D'accord! Level 2 (Supersite + Cahier interactif + vText)
209,supersite_websam_vtext,D'accord! Level 3 (Supersite + Cahier interactif + vText)
210,supersite_websam_vtext_short,Promenades (Supersite + WebSAM + vText) 12-month access
211,supersite_vtext_short,Promenades (Supersite + vText) 12-month access
212,supersite_short,Protagonistas (Supersite) 6-month access
213,supersite_websam_vtext_supersite plus,Protagonistas vText with Supersite Plus
214,supersite_websam_vtext_short_supersite plus,"Vistas, Fourth Edition (Supersite Plus with vText) 6-month access"
215,supersite_websam_vtext_supersite plus,"Imaginez, Second Edition vText with Supersite Plus"
216,supersite_short,"Vistas, Fourth Edition (Supersite) 6-month access"
217,supersite_websam_short_supersite plus,"Vistas, Fourth Edition (Supersite Plus) 6-month access"
218,supersite_vtext_short,"Vistas, Fourth Edition (Supersite + vText) 6-month access"
219,supersite_websam_vtext_short,Sentieri (Supersite + WebSAM + vText) 12-month access
220,supersite_vtext_short,Sentieri (Supersite + vText) 12-month access
221,supersite_vtext,"Imaginez, Second Edition vText with Supersite"
222,supersite_websam_short_supersite plus,Protagonistas (Supersite Plus) 6-month access
223,supersite_vtext_short,Protagonistas vText with Supersite 6-month access
224,supersite_websam_vtext_short_supersite plus,Protagonistas vText with Supersite Plus 6-month access
225,supersite_vtext,Protagonistas vText with Supersite
226,supersite_medium,"Vistas, Fourth Edition (Supersite) 12-month access"
227,supersite_websam_medium_supersite plus,"Vistas, Fourth Edition (Supersite Plus) 12-month access"
228,supersite_vtext_medium,"Vistas, Fourth Edition vText with Supersite 12-month access"
229,supersite_websam_vtext_medium_supersite plus,"Vistas, Fourth Edition vText with Supersite Plus 12-month access"
230,websam_medium_supersite plus,"Vistas, Fourth Edition Upgrade to Supersite Plus 12-month access"
231,websam_short_supersite plus,"Vistas, Fourth Edition Upgrade to Supersite Plus 6-month access"
500,supersite,"Vistas, Fourth Edition M3 Version"
501,supersite,"M3 Publishing Target"
