target_word,target_definition,base_word,vocab_tags_attributes
carecer,estar privado de algo; no poseer algo,to lack,Tema 2;Contexto 2;verbo;ciencia;tecnología;salud;medicina;Internet;Google
precisar,necesitar,to need or require,Tema 2;Contexto 2;verbo;ciencia;tecnología;salud;medicina;Internet;Google
acarrear,"llevar, ocasionar, producir","to entail, to result in",Tema 2;Contexto 2;verbo;ciencia;tecnología;salud;medicina;Internet;Google
autóctono/a,"nativo/a, originario/a",native,Tema 2;Contexto 2;adjetivo;ciencia;tecnología;salud;medicina;Edad Media
el aporte,la contribución,contribution,Tema 2;Contexto 2;sustantivo;ciencia;tecnología;salud;medicina;Edad Media
el/la laico/a,persona civil que no tiene orden clerical,lay person,Tema 2;Contexto 2;sustantivo;ciencia;tecnología;salud;medicina;Edad Media
despedazar,hacer pedazos,to tear to pieces,Tema 2;Contexto 2;verbo;ciencia;tecnología;salud;medicina;Edad Media
la peregrinación,viaje que tiene un objetivo religioso,pilgrimage,Tema 2;Contexto 2;sustantivo;ciencia;tecnología;salud;medicina;Edad Media
la picaresca,"forma de vida de los pícaros, personajes astutos y
tramposos; género literario que describe la vida de los pícaros",picaresque,Tema 2;Contexto 2;sustantivo;ciencia;tecnología;salud;medicina;Edad Media
acudir,visitar o recurrir a alguien,to resort or turn to,Tema 2;Contexto 2;verbo;ciencia;tecnología;salud;medicina;Edad Media
el chivo expiatorio,persona a quien se le echa la culpa de algo,scapegoat,Tema 2;Contexto 2;sustantivo;ciencia;tecnología;salud;medicina;Edad Media
cernir,"ocurrir, acontecer",to happen; to hold over (someone),Tema 2;Contexto 2;verbo;ciencia;tecnología;salud;medicina;Edad Media
el ungüento,crema o bálsamo como remedio para curar que se pone en la piel,ointment,Tema 2;Contexto 2;sustantivo;ciencia;tecnología;salud;medicina;Edad Media
el filtro,poción,potion,Tema 2;Contexto 2;sustantivo;ciencia;tecnología;salud;medicina;Edad Media
milagroso/a,"asombroso/a, fuera de lo ordinario, que no tiene explicación lógica",miraculous; providential,Tema 2;Contexto 2;audio;adjetivo;ciencia;tecnología;salud;medicina
crédulo/a,que se cree cualquier cosa con facilidad,credulous; gullible,Tema 2;Contexto 2;audio;adjetivo;ciencia;tecnología;salud;medicina
retrasar,"demorar, atrasar, posponer",to delay,Tema 2;Contexto 2;audio;verbo;ciencia;tecnología;salud;medicina
el riesgo,"peligro, inseguridad, posibilidad de daño",risk,Tema 2;Contexto 2;audio;sustantivo;ciencia;tecnología;salud;medicina
plantear,"proponer, sugerir","to suggest, to propose",Tema 2;Contexto 3;verbo;ciencia;tecnología;ética;neandertal
rematar,"dar fin a algo, terminar",to finish off,Tema 2;Contexto 3;verbo;ciencia;tecnología;ética;neandertal
impetuoso/a,"impulsivo/a, apasionado/a","impulsive, hot-headed",Tema 2;Contexto 3;adjetivo;ciencia;tecnología;ética;neandertal
ADN,acrónimo para ácido desoxirribonucleico,DNA,Tema 2;Contexto 3;sustantivo;ciencia;tecnología;ética;neandertal
artífice,"creador, autor, arquitecto","creator, author",Tema 2;Contexto 3;sustantivo;ciencia;tecnología;ética;neandertal
avalar,apoyar,"to guarantee, to support",Tema 2;Contexto 3;verbo;ciencia;tecnología;ética;neandertal
campar a sus anchas,"vivir libre, sin restricciones",to do as one pleases,Tema 2;Contexto 3;verbo;ciencia;tecnología;ética;neandertal
replegarse,"retirarse, alejarse",to withdraw,Tema 2;Contexto 3;verbo;ciencia;tecnología;ética;neandertal
salpicar,"tener instancias de algo, esparcir",to splash; to touch or affect; to spread,Tema 2;Contexto 3;verbo;ciencia;tecnología;ética;neandertal
acoso,"persecución, molestia",harassment,Tema 2;Contexto 3;sustantivo;ciencia;tecnología;ética;neandertal
resarcimiento,compensación por daño,compensation (for damage),Tema 2;Contexto 3;sustantivo;ciencia;tecnología;ética;neandertal
machaconería,insistencia molesta,tiresome insistence,Tema 2;Contexto 3;sustantivo;ciencia;tecnología;ética;neandertal
mantener,"preservar, conservar",to keep; to preserve,Tema 2;Contexto 3;verbo;ciencia;tecnología;ética;sustentabilidad
agotar,acabar o extinguir,to use up,Tema 2;Contexto 3;verbo;ciencia;tecnología;ética;sustentabilidad
disponible,que está a la mano para ser usado,available,Tema 2;Contexto 3;adjetivo;ciencia;tecnología;ética;sustentabilidad
el patrón,conducta; modelo o pauta,pattern or model,Tema 2;Contexto 3;sustantivo;ciencia;tecnología;ética;sustentabilidad
perjudicar,"causar daño o perjuicio; lesionar, afectar",to harm,Tema 2;Contexto 3;verbo;ciencia;tecnología;ética;sustentabilidad
a costa de…,a expensas de…; por el esfuerzo o sacrificio de algo o alguien más,at the expense of…,Tema 2;Contexto 3;adverbio;ciencia;tecnología;ética;sustentabilidad
quebrar,"romper, fragmentar",to break,Tema 2;Contexto 3;audio;verbo;ciencia;tecnología;ética;sustentabilidad
cobijar,"cubrir, hospedar, dar protección o refugio",to wrap up,Tema 2;Contexto 3;audio;verbo;ciencia;tecnología;ética;sustentabilidad
imponer,obligar o forzar a alguien a hacer algo,to impose,Tema 2;Contexto 3;audio;verbo;ciencia;tecnología;ética;sustentabilidad
la búsqueda,la acción de buscar o investigar,search,Tema 2;Contexto 3;audio;sustantivo;ciencia;tecnología;ética;sustentabilidad
la mortandad,gran cantidad de muertes causadas por enfermedades o fenómenos naturales,"death toll, slaughter",Tema 2;Contexto 4;sustantivo;ciencia;tecnología;fenómenos naturales;extinción
el Pérmico,periodo geológico de hace aproximadamente trescientos millones de años,the Permian (period),Tema 2;Contexto 4;sustantivo;ciencia;tecnología;fenómenos naturales;extinción
el páramo,terreno sumamente frío y desolado,moorland,Tema 2;Contexto 4;sustantivo;ciencia;tecnología;fenómenos naturales;extinción
el hongo,"organismo parásito, sin clorofila, que vive sobre materias orgánicas en descomposición",fungus,Tema 2;Contexto 4;sustantivo;ciencia;tecnología;fenómenos naturales;extinción
la anoxia,falta casi total de oxígeno,anoxia,Tema 2;Contexto 4;sustantivo;ciencia;tecnología;fenómenos naturales;extinción
enlazado/a,conectado/a o relacionado/a,tied,Tema 2;Contexto 4;adjetivo;ciencia;tecnología;fenómenos naturales;extinción
cazar,perseguir para atrapar,to hunt,Tema 2;Contexto 4;verbo;ciencia;tecnología;fenómenos naturales;tornado
recorrer,"atravesar, viajar",to travel across,Tema 2;Contexto 4;verbo;ciencia;tecnología;fenómenos naturales;tornado
la planicie,terreno plano y extenso,"flatland, plateau",Tema 2;Contexto 4;sustantivo;ciencia;tecnología;fenómenos naturales;tornado
el callejón,paso estrecho entre edificios o montañas,alleyway,Tema 2;Contexto 4;sustantivo;ciencia;tecnología;fenómenos naturales;tornado
la cordillera,una serie de montañas,mountain range,Tema 2;Contexto 4;sustantivo;ciencia;tecnología;fenómenos naturales;tornado
suscitar,provocar o generar,to raise ,Tema 2;Contexto 4;verbo;ciencia;tecnología;fenómenos naturales;tornado
colgar,"estar suspendido o atado a un punto, sin tocar el suelo",to hang,Tema 2;Contexto 4;verbo;ciencia;tecnología;fenómenos naturales;tornado
desentrañar,"averiguar, descubrir información oculta","to figure out, to unravel",Tema 2;Contexto 4;verbo;ciencia;tecnología;fenómenos naturales;tornado
la sequía,"tiempo seco, sin lluvias, de larga duración",drought,Tema 2;Contexto 4;audio;sustantivo;ciencia;tecnología;fenómenos naturales;sequía
la agrometeorología,"ciencia que estudia las condiciones meteorológicas, climáticas e hidrológicas y su interrelación con la producción agrícola",agrometeorology,Tema 2;Contexto 4;audio;sustantivo;ciencia;tecnología;fenómenos naturales;sequía
repercutir,causar un efecto o un resultado,"to affect, to have repercussions",Tema 2;Contexto 4;audio;verbo;ciencia;tecnología;fenómenos naturales;sequía
mitigar,moderar o reducir un problema,to mitigate,Tema 2;Contexto 4;audio;verbo;ciencia;tecnología;fenómenos naturales;sequía
prever,ver con antelación,to foresee,Tema 2;Contexto 4;audio;verbo;ciencia;tecnología;fenómenos naturales;sequía
afrontar,resistir algo negativo; enfrentar,to face,Tema 2;Contexto 4;audio;verbo;ciencia;tecnología;fenómenos naturales;sequía
amenaza,peligro,threat,Tema 2;Contexto 4;audio;sustantivo;ciencia;tecnología;fenómenos naturales;sequía
el efecto invernadero,elevación de la temperatura atmosférica,the greenhouse effect,Tema 2;Cinemateca;sustantivo;ciencia;tecnología;atajo;energía
marginar,aislar; relegar a una posición sin importancia en la sociedad,to exclude,Tema 2;Cinemateca;verbo;ciencia;tecnología;atajo;energía
ser muy movido/a,(en México) participar en acciones o movimientos sociales,to be (socially) proactive,Tema 2;Cinemateca;verbo;adjetivo;ciencia;tecnología;atajo;energía
dañino/a,"que causa daño, lastima o produce enfermedades",harmful,Tema 2;Cinemateca;adjetivo;ciencia;tecnología;atajo;energía
el poste,columna colocada verticalmente que sirve como apoyo,lamppost,Tema 2;Cinemateca;sustantivo;ciencia;tecnología;atajo;energía
la pila,batería eléctrica,battery ,Tema 2;Cinemateca;sustantivo;ciencia;tecnología;atajo;energía
el atajo,camino que hace más corta una distancia,shortcut,Tema 2;Cinemateca;sustantivo;ciencia;tecnología;atajo;energía
el rezago,atraso; falta de desarrollo,backwardness,Tema 2;Cinemateca;sustantivo;ciencia;tecnología;atajo;energía
el entorno,lo que nos rodea; el medioambiente,surroundings,Tema 2;Cinemateca;sustantivo;ciencia;tecnología;atajo;energía
el agrado,"complacencia, gusto, placer",pleasure,Tema 3;Contexto 1;sustantivo;belleza;estética;historia
la etimología,estudio del origen de las palabras y sus significados,etymology,Tema 3;Contexto 1;sustantivo;belleza;estética;historia
el canon,regla; conjunto de normas o preceptos,"canon, rule, principle",Tema 3;Contexto 1;sustantivo;belleza;estética;historia
la pujanza,fuerza o empuje,"strength, vigour",Tema 3;Contexto 1;sustantivo;belleza;estética;historia
paradigmático/a,"ejemplar, que sirve como modelo o prototipo",paradigmatic,Tema 3;Contexto 1;adjetivo;belleza;estética;historia
plasmar,dar forma o capturar la expresión de algo,to express or capture (artistically),Tema 3;Contexto 1;verbo;belleza;estética;historia
el donaire,"elegancia, esbeltez",grace,Tema 3;Contexto 1;sustantivo;belleza;estética;historia
menospreciar,mostrar desprecio o desdén,"to scorn, to despise",Tema 3;Contexto 1;verbo;belleza;estética;historia
morfológico/a,relacionado con la forma o la estructura,morphological,Tema 3;Contexto 1;adjetivo;belleza;estética;historia
sustraerse,"retirarse, alejarse","to escape (from something), to avoid",Tema 3;Contexto 1;verbo;belleza;estética;historia
radicar (en),residir o consistir (en),"to lie in, to consist of",Tema 3;Contexto 1;verbo;belleza;estética;encuesta
el/la mozo/a,persona joven,youth,Tema 3;Contexto 1;sustantivo;belleza;estética;encuesta
despampanante,de belleza extraordinaria,stunning,Tema 3;Contexto 1;adjetivo;belleza;estética;encuesta
afable,"simpático/a, afectuoso/a",affable,Tema 3;Contexto 1;adjetivo;belleza;estética;encuesta
agraciado/a,atractivo/a,graceful; attractive,Tema 3;Contexto 1;adjetivo;belleza;estética;encuesta
